id_cliente,nome,email,telefone,data_cadastro,cidade,uf,origem,qtd_pedidos_total,qtd_pedidos_aprovados,qtd_pedidos_recusados,qtd_pedidos_reembolsados,qtd_pedidos_processando,valor_total_gasto,ticket_medio,data_primeiro_pedido,data_ultimo_pedido,qtd_tickets_total,qtd_tickets_abertos,qtd_tickets_resolvidos,qtd_avaliacoes,nota_media_dada,nps_medio_avaliacoes_cliente,qtd_eventos_clickstream,canal_preferido,segmento_ltv,is_ativo_90d,is_em_risco,data_referencia_calculo
2e3d574b-57eb-4418-a778-9e84c7654689,Alan Menezes,alan_menezesyahoo.com.br,+557590002424,2021-10-30,Salvador,Bahia,web,7,7,0,0,0,18770.91,2681.56,2024-01-02,2025-09-16,1,0,1,3,3.33,4.67,6,web,Alto,false,false,2026-05-16
4375cc64-a523-46b9-a87b-a34e5be6c014,Flavia Dias,flavia_dias@hotmail.com,+558603195667,2022-09-29,Camaçari,Bahia,indicacao,10,10,0,0,0,21221.66,2122.17,2023-02-28,2025-05-31,0,0,0,5,3.4,6.8,5,app,Alto,false,false,2026-05-16
799232a9-ef75-4215-baeb-21e7a007d57c,Renan Otero,renan331@hotmail.com,+558526307452,2023-01-06,Joaquim Nabuco,Pernambuco,web,13,11,1,1,0,17206.01,1323.54,2023-05-23,2025-09-24,1,0,1,6,3.33,6.17,6,web,Alto,false,false,2026-05-16
81d2afca-7f70-4906-acea-6a88b2609133,Hannah Costa,hannah_costa@hotmail.com,+558202420982,2018-10-21,Goiânia,Goiás,app,10,10,0,0,0,4881.26,488.13,2023-01-25,2026-03-29,0,0,0,3,3.67,9.33,7,web,Medio,true,false,2026-05-16
3711e720-6790-4915-9cda-a8759f7bf60d,Pedro Quaresma,pedro_quaresma@gmail.com,+558784842580,2023-12-19,Guarulhos,São Paulo,web,6,6,0,0,0,7342.73,1223.79,2024-02-02,2025-07-06,1,0,1,5,3.0,6.8,6,web,Alto,false,false,2026-05-16
84a527bb-a443-47b6-89b4-78c9d8b1550f,Wesley Serrano,wesley.serrano195gmail.com,+558715702726,2021-07-05,São Paulo,São Paulo,web,2,2,0,0,0,5985.39,2992.70,2023-07-03,2025-05-02,0,0,0,2,2.5,4.5,3,web,Alto,false,false,2026-05-16
d9f437ed-e8d7-4707-93cc-c82bf1adc593,Julia Queiroz,julia681hotmail.com,+558144113387,2023-07-29,Marcelândia,Mato Grosso,web,2,2,0,0,0,4782.09,2391.05,2025-03-29,2025-12-31,0,0,0,1,4.0,10.0,4,app,Medio,false,false,2026-05-16
bf2d0191-200c-47a1-b71c-e50204edc39e,Murilo Evangelista,murilo266@hotmail.com,+551985585795,2021-04-06,Sumaré,São Paulo,app,1,1,0,0,0,171.74,171.74,2023-02-16,2023-02-16,0,0,0,1,5.0,9.0,4,web,Baixo,false,false,2026-05-16
a7696c15-38ff-475d-8e3b-63c8c288f0cc,Zelinda Amorim,zelinda541@hotmail.com,+559237379066,2021-08-28,Itupiranga,Pará,app,6,6,0,0,0,24628.84,4104.81,2023-04-28,2025-01-19,0,0,0,2,3.0,5.0,4,web,Alto,false,false,2026-05-16
b06ff84e-3a74-4996-8323-e9ebc2273e48,Maria Garcia,mgarcia538@yahoo.com,+558734215907,2022-05-30,Mauá,São Paulo,web,4,3,1,0,0,8422.08,2105.52,2023-03-10,2024-06-30,0,0,0,1,3.0,7.0,8,app,Alto,false,false,2026-05-16
